,tr_acc,tr_ap,tr_e,ind_acc,ind_ap,ind_e,hidden,latent
0,0.8518753704174075,0.9384955266755836,59,0.7804377275421217,0.884031790230418,20,64,64
1,0.8581618829904326,0.9407319009829549,36,0.783993734654136,0.8994134279769961,41,128,64
2,0.8528067056134112,0.933127814549917,10,0.7708068749470832,0.8883935198895185,10,256,64
3,0.8583735500804335,0.9371219325218956,36,0.8056896113792228,0.894016516536587,36,512,64
4,0.856743713487427,0.9369461351924663,28,0.7952967572601812,0.8931850863236769,28,64,128
5,0.8425408517483701,0.9316977499227395,25,0.7823215646431293,0.895151108522423,47,128,128
6,0.8564262128524257,0.9390905405126186,24,0.8061552789772246,0.9003306708990682,24,256,128
7,0.8666073998814664,0.9402747726911505,21,0.8051392769452206,0.8972413419445933,21,512,128
8,0.8388578443823554,0.9286926643401273,22,0.787740242147151,0.8889081653002,22,64,256
9,0.8492295317923969,0.9344075187884333,12,0.7869782406231479,0.8978027915381964,12,128,256
10,0.8518118702904073,0.9362729215187664,41,0.7779400558801117,0.8895639213286564,5,256,256
11,0.8618237236474473,0.9392699957771493,20,0.7844594022521378,0.8970192332417852,20,512,256
