	auc	ap	hidden	rnd
0	0.840539335946347	0.07372678063436405	16	0
1	0.8136820352441602	0.05058900009978279	32	0
2	0.7129344735141159	0.02263934771603142	64	0
3	0.6521251174615298	0.017844679430525073	16	8
4	0.6059173222862669	0.011851662408423107	32	8
5	0.7937668981950888	0.02994171297721425	64	8
6	0.8028184506994704	0.04857968216557247	16	16
7	0.8672477905606428	0.059232389358298325	32	16
8	0.7061181275642833	0.03193982319774251	64	16
9	0.7364225874022217	0.10247280437263714	16	32
10	0.6618833954391725	0.014569264987426795	32	32
11	0.6741913403883659	0.01512207438453888	64	32
