,tr_acc,tr_ap,tr_e,ind_acc,ind_ap,ind_e,hidden,latent
0,0.8899664617104528,0.944338998569883,536,0.9535637713747843,0.47122774507002935,32,64,64
1,0.9278367803242035,0.967558926501017,879,0.9386079590022486,0.3599413312667219,29,128,64
2,0.9315259921743991,0.9719184544998899,608,0.7509804946922554,0.44029171156807184,47,256,64
3,0.9371436556735606,0.9816371891976721,817,0.83292370443968,0.4285120363933564,42,512,64
4,0.9351313583007267,0.976547665188566,746,0.887883700256236,0.5290778928285966,30,64,128
5,0.9248462828395752,0.9671697575055891,686,0.900590911467866,0.3316656008417833,82,128,128
6,0.9586081609837899,0.9846623245359523,814,0.8513308581289547,0.3569565186770935,24,256,128
7,0.9467579653437674,0.9838832785196172,836,0.7580400564764943,0.41966499463188073,39,512,128
8,0.9255729457797652,0.9666683555507616,547,0.8545207341944255,0.5373561084987538,26,64,256
9,0.9098378982671884,0.9544088280283777,418,0.9261622130418867,0.4273877436456699,178,128,256
10,0.8683342649524874,0.9310830015252876,98,0.9415886628667051,0.3066180617469656,22,256,256
11,0.9495807713806595,0.9851383899741921,790,0.8319824295351148,0.46897695824945557,49,512,256
