,tr_acc,tr_ap,tr_e,ind_acc,ind_ap,ind_e,hidden,jk
0,0.9293739519284516,0.974549198220876,738,0.8591748156669978,0.5975171959746186,312,64,True
1,0.886836221352711,0.9424333986832744,310,0.7940176750509857,0.31789501857493063,48,128,True
2,0.86545556176635,0.9717580734468025,482,0.8651362233959107,0.6934764698322589,342,256,True
3,0.8986864169927333,0.9550300364126308,677,0.8706792867227945,0.3692147541632082,40,512,True
4,0.9105366126327558,0.9561594739318086,619,0.8636197249385557,0.43784283172332045,35,64,False
5,0.928703186137507,0.9716409661950149,984,0.8739214558385191,0.24306365776373906,80,128,False
6,0.9434879821129123,0.9794955010440267,977,0.8685875647126496,0.423009514576089,144,256,False
7,0.9359698155394075,0.9763759775298779,410,0.8307796893792815,0.37176213390199164,41,512,False
